Departure_Indicator,Distance,Angle Sum,nArrOut,nArrIn,nDepOut,nDepIn,Temperature,Wind Speed,Visibility
0,9910.0,240.0,8,1,0,2,75.9,5.75,7.0
0,5750.0,180.0,9,2,11,0,75.9,5.75,7.0
0,4340.0,180.0,8,3,2,0,75.9,5.75,7.0
0,5750.0,180.0,7,2,1,0,75.9,5.75,7.0
0,8210.0,270.0,7,3,1,1,75.9,5.75,7.0
0,8340.0,240.0,7,3,1,0,75.9,5.75,7.0
0,8210.0,270.0,6,0,1,1,75.9,5.75,7.0
0,8210.0,270.0,4,1,1,0,75.9,5.75,7.0
0,5750.0,180.0,3,2,1,0,75.9,5.75,7.0
0,5750.0,180.0,3,2,7,1,75.9,5.75,7.0
0,4340.0,180.0,5,3,2,0,75.9,5.75,7.0
0,9910.0,240.0,5,4,1,0,75.9,5.75,7.0
0,9910.0,240.0,6,5,13,0,75.9,5.75,7.0
0,5750.0,180.0,6,5,0,0,75.9,5.75,7.0
0,9910.0,240.0,6,6,6,0,75.9,5.75,7.0
0,9800.0,225.0,6,7,2,0,75.9,5.75,7.0
0,9910.0,240.0,5,7,1,1,75.9,5.75,7.0
0,8210.0,270.0,6,5,1,0,75.9,5.75,7.0
0,5750.0,180.0,7,5,1,0,75.9,5.75,7.0
0,4340.0,180.0,7,6,3,0,75.9,5.75,7.0
0,8340.0,240.0,7,7,1,0,75.9,5.75,7.0
0,2950.0,180.0,6,6,1,2,75.9,5.75,7.0
0,9910.0,240.0,7,6,4,0,75.9,5.75,7.0
0,9910.0,240.0,11,7,9,1,75.9,5.75,7.0
0,8340.0,240.0,9,6,3,0,75.9,5.75,7.0
0,9910.0,240.0,9,6,1,1,75.9,4.6,10.0
0,4600.0,270.0,6,4,1,3,75.9,4.6,10.0
0,9910.0,240.0,5,4,4,0,75.9,4.6,10.0
0,9800.0,225.0,5,4,0,1,75.9,4.6,10.0
0,8340.0,240.0,6,4,1,0,75.9,4.6,10.0
0,9910.0,240.0,6,5,15,1,75.9,4.6,10.0
0,11230.0,225.0,5,5,1,0,75.9,4.6,10.0
0,8210.0,270.0,5,6,0,0,75.9,4.6,10.0
0,11230.0,225.0,2,6,0,4,75.9,4.6,10.0
0,5700.0,180.0,3,7,6,1,75.9,4.6,10.0
0,9800.0,225.0,5,4,4,0,75.9,4.6,10.0
0,15360.0,285.0,5,3,4,0,75.9,4.6,10.0
0,4340.0,180.0,4,3,0,1,75.9,4.6,10.0
0,4600.0,270.0,4,3,2,0,75.9,4.6,10.0
0,11180.0,225.0,4,4,5,0,75.9,4.6,10.0
0,5750.0,180.0,4,5,2,1,75.9,4.6,10.0
0,5700.0,180.0,3,6,14,0,75.9,4.6,10.0
0,8340.0,240.0,3,7,8,1,75.9,4.6,10.0
0,5700.0,180.0,3,7,5,0,75.9,4.6,10.0
0,5700.0,180.0,5,8,8,0,75.9,4.6,10.0
0,13790.0,285.0,5,8,1,3,75.9,4.6,10.0
0,2950.0,180.0,5,7,9,2,75.9,4.6,10.0
0,8400.0,225.0,5,2,4,0,75.9,4.6,10.0
0,4600.0,270.0,5,3,11,0,75.9,4.6,10.0
0,13790.0,285.0,6,4,2,1,75.9,4.6,10.0
0,5700.0,180.0,7,5,1,0,75.9,4.6,10.0
0,9800.0,225.0,7,6,10,0,75.9,4.6,10.0
0,5750.0,180.0,7,7,13,0,75.9,4.6,10.0
0,15360.0,285.0,7,8,1,1,75.9,4.6,10.0
0,9910.0,240.0,7,8,10,1,75.9,4.6,10.0
0,4600.0,270.0,7,8,2,2,75.9,4.6,10.0
0,11230.0,225.0,7,8,2,2,75.9,4.6,10.0
0,8340.0,240.0,7,8,7,1,75.9,4.6,10.0
0,8400.0,225.0,8,9,10,1,75.9,4.6,10.0
0,8340.0,240.0,8,10,2,0,75.9,4.6,10.0
0,5750.0,180.0,7,10,10,1,75.9,4.6,10.0
0,8400.0,225.0,7,10,10,0,75.9,8.05,7.0
0,2950.0,180.0,7,11,1,1,75.9,8.05,7.0
0,5750.0,180.0,7,12,5,2,75.9,8.05,7.0
0,10070.0,315.0,10,12,7,1,75.9,8.05,7.0
0,8340.0,240.0,10,13,6,0,75.9,8.05,7.0
0,4340.0,180.0,11,12,9,2,75.9,8.05,7.0
0,5750.0,180.0,9,10,2,0,75.9,8.05,7.0
0,5700.0,180.0,9,4,8,1,75.9,8.05,7.0
0,8340.0,240.0,7,1,1,2,75.9,8.05,7.0
0,8340.0,240.0,7,1,20,5,75.9,8.05,7.0
0,4340.0,180.0,4,1,29,0,75.9,8.05,7.0
0,5750.0,180.0,3,1,0,1,75.9,8.05,7.0
0,4340.0,180.0,4,2,4,0,75.9,8.05,7.0
0,8340.0,240.0,3,3,7,0,75.9,8.05,7.0
0,8210.0,270.0,3,2,1,2,75.9,8.05,7.0
0,4340.0,180.0,4,2,28,2,75.9,8.05,7.0
0,4600.0,270.0,4,2,13,0,75.9,8.05,7.0
0,8340.0,240.0,4,3,9,2,75.9,8.05,7.0
0,5750.0,180.0,4,3,1,0,75.9,8.05,7.0
0,5700.0,180.0,6,0,1,2,75.9,8.05,7.0
0,4340.0,180.0,9,0,0,3,75.9,8.05,7.0
0,2950.0,180.0,11,0,10,0,75.9,3.45,10.0
0,4340.0,180.0,14,1,11,1,75.9,3.45,10.0
0,9910.0,240.0,18,0,6,0,75.9,3.45,10.0
0,8340.0,240.0,13,1,2,1,75.9,3.45,10.0
0,4600.0,270.0,9,0,6,0,75.9,3.45,10.0
0,4340.0,180.0,10,1,0,1,75.9,3.45,10.0
0,2950.0,180.0,9,1,13,3,75.9,3.45,10.0
0,9910.0,240.0,11,2,20,6,75.9,3.45,10.0
0,5700.0,180.0,10,2,12,2,75.9,3.45,10.0
0,5750.0,180.0,10,1,11,0,75.9,3.45,10.0
0,11180.0,225.0,10,2,12,1,75.9,3.45,10.0
