Departure_Indicator,Distance,Angle Sum,nArrOut,nArrIn,nDepOut,nDepIn,Temperature,Wind Speed,Visibility
0,5250.0,320.0,6,4,8,0,66.0,4.6,10.0
0,5540.0,275.0,5,4,7,3,66.0,4.6,10.0
0,5250.0,320.0,5,3,2,0,66.0,4.6,10.0
0,7100.0,275.0,3,1,0,0,66.0,4.6,10.0
0,5561.0,200.0,3,2,5,1,66.0,4.6,10.0
0,7100.0,275.0,4,3,4,0,66.0,4.6,10.0
0,5561.0,200.0,3,4,4,5,66.0,4.6,10.0
0,5561.0,200.0,3,4,0,0,66.9,8.05,10.0
0,5540.0,275.0,6,3,7,2,66.9,8.05,10.0
0,6240.0,275.0,6,4,0,0,66.9,8.05,10.0
0,5540.0,275.0,6,4,2,2,66.9,8.05,10.0
0,5561.0,200.0,5,4,2,1,66.9,8.05,10.0
0,6520.0,290.0,7,1,6,4,66.9,8.05,10.0
0,8100.0,275.0,7,2,2,5,66.9,8.05,10.0
0,5561.0,200.0,7,3,9,2,66.9,8.05,10.0
0,8100.0,275.0,7,3,5,4,66.9,8.05,10.0
0,5561.0,200.0,6,3,3,3,66.9,8.05,10.0
0,5110.0,275.0,7,3,0,0,66.9,8.05,10.0
0,5250.0,320.0,6,4,1,0,66.9,8.05,10.0
0,11230.0,395.0,5,5,10,3,66.9,8.05,10.0
0,7100.0,275.0,3,6,5,1,66.9,8.05,10.0
0,11230.0,395.0,5,5,3,2,66.9,8.05,10.0
0,11230.0,395.0,4,4,6,4,66.9,8.05,10.0
0,6520.0,290.0,2,4,4,0,66.9,8.05,10.0
0,5561.0,200.0,2,4,0,1,66.9,8.05,10.0
0,6240.0,275.0,2,5,4,0,66.9,8.05,10.0
0,11230.0,395.0,2,6,1,1,66.9,8.05,10.0
0,5540.0,275.0,2,7,6,3,66.9,8.05,10.0
0,11230.0,395.0,2,7,3,1,66.9,8.05,10.0
0,5250.0,320.0,2,4,11,2,66.9,8.05,10.0
